Proposta, Eixo
"Segurança pública possui como alicerces principais: aliança comunitária, transparência,  cuidado  com  pessoas,  grupos  e  temáticas  sensíveis  (reeducandos, crianças,  mulheres,  idosos,  deficientes,  meio  ambiente,  dentre  outros),  apoio  aos profissionais, refletindo o modo social de fazer segurança. As palavras-chave"
"Viabilizar  apoios  para  uma  maior  aproximação  com  a  comunidade,  por  meio  de conselhos de segurança, rondas e visitas comunitárias;"
Promover reforço efetivo de policiamento no município;
Apoiar a classe policial no município;
"Revitalizar e Apoiar as  ações do Conselho Municipal de Segurança, na implantação do de programas voltados;"
Valorização e Apoio as ações do Conselho Tutelar e Conselheiros;
Viabilizar  e  firmar  parceria  com  a  Secretaria  Estadual  de  Segurança  para  o  bom funcionamento da Companhia de Polícia Militar.
"Implantar sistema de monitoramento através da instalação de câmeras em torres de observação nas principais vias de acesso, que enviarão imagens de toda cidade em tempo real para uma central da Guarda Municipal;"
"Implementar convênio com o Estado para  o  aumento  de  efetivo  da  Polícia  Civil  e  Militar,  com  o  reestudo  do  convênio  de segurança e trânsito;"
Ampliar e consolidar programas e ações que garantam mais segurança para a população.
CRIAÇÃO DE GUARDA MUNICIPAL
"VALORIZAÇÃO E PRESERVAÇÃO DO PATRIMÔNIO PÚBLICO COM INSTALAÇÃO DE SISTEMAS DE VIDEOMONITORAMENTO  NAS  PRINCIPAIS  VIAS  DE  ACESSO  À  CIDADE,  NAS  PRAÇAS  E  PRÉDIOS  PÚBLICOS  COM  CÂMERAS QUE ENVIARÃO IMAGENS EM TEMPO REAL PARA UMA CENTRAL DA GUARDA MUNICIPAL."
IMPLANTAÇÃO DE VIGILÂNCIA COMUNITÁRIA NAS LOCALIDADES MAIS POPULOSAS.
"APOIO ATRAVÉS DE CONVÊNIO JUNTO AS POLICIAS (CIVIL E MILITAR) PARA COMBATE A INFRAÇÕES, CONTRAVENÇÕES E CRIMES NO MUNICÍPIO DE ANGICAL DO PIAUÍ."
SOLICITAÇÃO DE IMPLANTAÇÃO DE UMA COMPANHIA INDEPENDENTE DA POLÍCIA MILITAR NO MUNICÍPIO.
Garantir iluminação pública de qualidade em toda a cidade para uma melhor atuação da polícia militar e um maior conforto e segurança dos moradores;
"Instalar  câmeras  de  segurança,  que  enviarão  imagens  de  toda  cidade  em  tempo  real para policia militar;"
"Implementar  convênio  com  o  Estado  para  o  aumento  de  efetivo  da  Policia  Militar, através de  convênio com o Estado;"
"Implantar  a  Política  Municipal  Integrada  de  Prevenção  à  Violência,  a cultura  de  paz  na  cidade  e  as  iniciativas  de  mediação  de  conflitos  nas comunidades de São Miguel do Tapuio;"
Implantar do Sistema de Monitoramento nos prédios públicos para garantir maior segurança;
Criar a Guarda Municipal com atuação organizada e monitorada diariamente;
Realizar parceria com o Governo do Estado para reforma e restruturação da Sede da Polícia Militar localizado na Rua Coletor José de Araújo;
"Produzir e publicar materiais, eventos e campanhas para tratar de temas relacionados ao enfrentamento do machismo, do feminicídio, da translesbofobia e da violência contra as mulheres e ao empoderamento do público feminino;"
Seguranca
"Promoção de campanhas educativas institucionais na área da segurança pública (segurança no trânsito, combate ao uso das drogas, entre outros) promovendo e incentivando ações estratégicas de prevenção às violências"
Planejamento de ações conjuntas com a Vara da Infância e Juventude;
"Promover a cooperação e a articulação entre os órgãos federais, estaduais e municipais  com  vistas  ao  alcance  das metas  estabelecidas  e os objetivos da"
Política Nacional de Segurança Pública e Defesa Social;
"Implementar  políticas  de  segurança  pública,  prevenção  e  enfrentamento  à criminalidade, de maneira integrada com os entes federativos e estaduais, na forma estabelecida no Plano Nacional de Segurança Pública e Defesa Social 2021-2030."
"Criar Sistema Integrado com câmeras de segurança para videomonitoramento no perímetro urbano, com sala de controle operacional, que permite o acompanhamento  em  tempo  real,  todos  os  dias,  durante  24h,  nos  principais pontos da cidade, qualificando os processos de investigação e inteligência;"
Ampliação das ações de prevenção criminal por meio de videomonitoramento.
Sistema de monitoramento através de câmeras em pontos estratégico na zona urbana;
Atuar de forma integrada com o Conselho Tutelar;
Aumentar o efetivo policial para sede do município;
Implantação de Guarda Municipal;
Buscar  recursos  junto  ao  Governo  Estadual  para  a  compra  de  veículos para a segurança.
Buscar a ampliação do número de policiais no GPM de Itainópolis junto ao governo do Estado.
"Atuar preventivamente no combate ao tráfico de drogas, fortalecendo a presença da GPM;"
"Atuar especialmente na região das escolas, para maior proteção de nossas crianças e adolescentes, dentro e fora do recinto;"
"Atuar na proteção e guarda de nosso patrimônio histórico, próprios municipais e recursos naturais;"
Enfrentar  a  criminalidade  e  a  violência  endêmica  em  parceria  com  o  Governo  de
"Estado, gerando sensação de segurança e tranquilidade;"
Proporcionar ações imediatas de segurança ao cidadão;
Implantar  uma  política  de  segurança  pública  integrada  e  articulada  com  as  demais políticas públicas;
Proteger o patrimônio público;
"Definir  um  programa  de  parceria  com  o  estado  para  compartilhar  responsabilidades com a segurança pública, promoção da justiça e a proteção do cidadão, dentro de suas respectivas áreas de atuação;"
Melhoria da iluminação pública com prioridade para a recuperação de todo sistema de iluminação no municÍpio e retomada de equipe de servidores para a realização desses serviços em caráter emergencial;
"Criação da Guarda Municipal (com efetivo inicial, de homens e mulheres), cuja função deverá ser, prioritariamente, a guarda de Patrimônios Municipais, segurança de escolas, etc.;"
Solicitar o aumento do contingente da Polícia Militar;
Implementação de iluminação em Led em todo município.
Implantação  de  uma  central  de  monitoramento  com  câmeras  no  centro  e entradas da cidade.
"Manter as politicas voltadas ao combate a violência urbana, articuladas com os setores organizados da sociedade e com as policias militar e civil."
"Apoio a Policia Militar no combate à violência, roubos e furtos;"
Criação de um programa de incentivo ao jovem dependente químico e atuar com rigor visando o cumprimento do Estatuto da Criança e do Adolescente na proibição de drogas em parceria com o governo Federal e Estadual.
Aquisiçao de novas viaturas para atender os serviços da Guarda Municipal;
"Buscar a formalizaçao de convenios com a SENASP e a Secretaria Estadual de Segurança para obtençao de equipamentos de uso pessoal e coletivo, tais como: coletes, algemas, spray de pimenta, EPIs, armas na o letais (Taser);"
Ampliar o sistema municipal de videomonitoramento ja  existentes com instalaçao de mais cameras nas repartiçoes do município e vias publicas;
Instalar cameras nas principais saídas do município;
Aquisiçao de novos equipamentos para a Guarda Municipal e Agentes de Transito;
